PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue
17,4,Complete,255,1560,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,13669.425,1093.554,341.7356,15104.7146
18,4,Complete,256,1692,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,16393.23,1311.4584,409.8308,18114.5192
19,4,Complete,259,1696,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,79204.125,6336.33,1980.1031,87520.5581
20,4,Complete,260,1504,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,551.88,44.1504,13.797,609.8274
21,4,Complete,250,1544,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,6987.75,559.02,174.6938,7721.4638
22,4,Complete,254,1530,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,28072.275,2245.782,701.8069,31019.8639
23,4,Complete,257,1508,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,37312.275,2984.982,932.8069,41230.0639
24,4,Rejected,261,1694,1,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,4215.75,337.26,105.3938,4658.4038
25,4,Complete,251,1624,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,28297.5,2263.8,707.4375,31268.7375
26,4,Complete,253,1548,2,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,59.9445,4.7956,1.4986,66.2387
27,4,Complete,255,1598,4,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,722.61,57.8088,18.0653,798.4841
28,4,Complete,256,1658,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
29,4,Complete,259,1536,4,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,592.7985,47.4239,14.82,655.0424
30,4,Complete,260,1568,2,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,21252,1700.16,531.3,23483.46
31,4,Complete,258,1648,5,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,142.4115,11.3929,3.5603,157.3647
32,6,Complete,254,1646,2,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,28794.15,2303.532,719.8538,31817.5358
33,4,Complete,257,1672,4,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,421.155,33.6924,10.5289,465.3763
34,4,Rejected,261,1600,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,1276.275,102.102,31.9069,1410.2839
35,4,Complete,251,1522,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,2003.925,160.314,50.0981,2214.3371
36,4,Complete,253,1570,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,50860.425,4068.834,1271.5106,56200.7696
37,4,Complete,255,1516,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,454.86,36.3888,11.3715,502.6203
38,6,Complete,256,1506,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
39,4,Complete,252,1626,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,7132.125,570.57,178.3031,7880.9981
40,4,Complete,260,1542,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,28343.7,2267.496,708.5925,31319.7885
41,4,Complete,258,1610,4,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,22516.725,1801.338,562.9181,24880.9811
42,5,Complete,254,1638,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
43,4,Complete,257,1582,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,427.9275,34.2342,10.6982,472.8599
44,4,Rejected,261,1510,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,143.0415,11.4433,3.576,158.0608
45,4,Complete,250,1526,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,28199.325,2255.946,704.9831,31160.2541
46,4,Complete,253,1644,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,3713.325,297.066,92.8331,4103.2241
47,4,Complete,255,1680,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,63831.075,5106.486,1595.7769,70533.3379
48,4,Complete,256,1584,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,16340.31,1307.2248,408.5078,18056.0426
49,4,Complete,259,1620,5,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,5711.475,456.918,142.7869,6311.1799
50,5,Complete,260,1666,5,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,429.345,34.3476,10.7336,474.4262
51,4,Complete,258,1592,2,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,97.965,7.8372,2.4491,108.2513
52,4,Complete,254,1618,4,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,114.471,9.1577,2.8618,126.4905
53,4,Complete,252,1612,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,132.6465,10.6117,3.3162,146.5744
54,6,Rejected,261,1586,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
55,4,Complete,251,1500,1,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,418.95,33.516,10.4738,462.9398
56,4,Complete,253,1656,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,525.7665,42.0613,13.1442,580.972
57,4,Complete,255,1572,1,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,461.79,36.9432,11.5448,510.278
58,4,Complete,256,1562,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,630.378,50.4302,15.7595,696.5677
59,9,Complete,259,1662,2,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,37.0755,2.966,0.9269,40.9684
60,4,Complete,260,1682,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,21558.075,1724.646,538.9519,23821.6729
61,4,Complete,258,1686,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,507.087,40.567,12.6772,560.3312
62,4,Complete,254,1684,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,41048.7,3283.896,1026.2175,45358.8135
63,4,Complete,257,1534,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,429.345,34.3476,10.7336,474.4262
64,5,Rejected,261,1614,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,279.153,22.3322,6.9788,308.464
65,4,Complete,251,1588,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,40471.2,3237.696,1011.78,44720.676
66,5,Complete,253,1622,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,563.5665,45.0853,14.0892,622.741
67,4,Complete,255,1632,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,62092.8,4967.424,1552.32,68612.544
68,5,Complete,256,1608,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,5948.25,475.86,148.7063,6572.8163
69,4,Complete,259,1576,5,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,91117.95,7289.436,2277.9488,100685.3348
70,5,Complete,260,1590,1,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,525,42,13.125,580.125
71,4,Complete,258,1514,5,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,2003.6835,160.2947,50.0921,2214.0703
72,4,Complete,254,1498,4,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,26455.275,2116.422,661.3819,29233.0789
73,4,Complete,257,1674,2,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,944.37,75.5496,23.6093,1043.5289
74,6,Rejected,261,1652,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,44594.55,3567.564,1114.8638,49276.9778
75,4,Complete,251,1578,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,62843.55,5027.484,1571.0888,69442.1228
76,4,Complete,253,1538,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,37843.575,3027.486,946.0894,41817.1504
77,4,Complete,252,1556,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,25531.275,2042.502,638.2819,28212.0589
78,4,Complete,256,1554,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,694.1655,55.5332,17.3541,767.0528
79,4,Complete,259,1688,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,125.748,10.0598,3.1437,138.9515
80,4,Complete,260,1580,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,150.7905,12.0632,3.7698,166.6235
81,4,Complete,258,1496,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,560.007,44.8006,14.0002,618.8078
82,5,Complete,254,1494,2,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,8847.3,707.784,221.1825,9776.2665
83,4,Complete,257,1650,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,171.0765,13.6861,4.2769,189.0395
84,4,Rejected,261,1654,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,20397.3,1631.784,509.9325,22539.0165
85,4,Complete,251,1664,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,14628.075,1170.246,365.7019,16164.0229
86,5,Complete,253,1678,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,58685.55,4694.844,1467.1388,64847.5328
87,4,Complete,255,1616,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,773.01,61.8408,19.3253,854.1761
88,5,Complete,252,1492,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,656.586,52.5269,16.4147,725.5276
89,4,Complete,259,1602,5,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,1796.0355,143.6828,44.9009,1984.6192
90,4,Complete,260,1540,4,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,358.6275,28.6902,8.9657,396.2834
91,4,Complete,258,1628,5,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
92,4,Complete,250,1604,4,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,257.5755,20.606,6.4394,284.6209
93,4,Complete,257,1690,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,146.286,11.7029,3.6572,161.6461
94,4,Rejected,261,1566,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,102.564,8.2051,2.5641,113.3332
95,4,Complete,251,1698,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,150.7905,12.0632,3.7698,166.6235
96,4,Complete,253,1560,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,13669.425,1093.554,341.7356,15104.7146
97,6,Complete,255,1692,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,16393.23,1311.4584,409.8308,18114.5192
98,4,Complete,256,1696,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,73377.15,5870.172,1834.4288,81081.7508
99,4,Complete,259,1504,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,551.88,44.1504,13.797,609.8274
100,4,Complete,260,1544,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,6987.75,559.02,174.6938,7721.4638
101,5,Complete,258,1530,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,28072.275,2245.782,701.8069,31019.8639
102,4,Complete,254,1508,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,35394.975,2831.598,884.8744,39111.4474
103,4,Complete,257,1694,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,3407.25,272.58,85.1813,3765.0113
104,4,Rejected,261,1624,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,28297.5,2263.8,707.4375,31268.7375
105,4,Complete,251,1548,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,59.9445,4.7956,1.4986,66.2387
106,4,Complete,253,1598,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,332.955,26.6364,8.3239,367.9153
107,4,Complete,255,1658,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
108,4,Complete,256,1536,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,674.3835,53.9507,16.8596,745.1938
109,4,Complete,259,1568,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,31398.675,2511.894,784.9669,34695.5359
110,4,Complete,250,1648,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,142.4115,11.3929,3.5603,157.3647
111,4,Complete,258,1646,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,19236.525,1538.922,480.9131,21256.3601
112,4,Complete,254,1672,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,272.4435,21.7955,6.8111,301.0501
113,5,Complete,257,1600,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,1276.275,102.102,31.9069,1410.2839
114,4,Rejected,261,1522,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,2003.925,160.314,50.0981,2214.3371
115,4,Complete,251,1570,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,50860.425,4068.834,1271.5106,56200.7696
116,4,Complete,253,1516,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,454.86,36.3888,11.3715,502.6203
117,4,Complete,255,1506,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
118,5,Complete,256,1626,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,7132.125,570.57,178.3031,7880.9981
119,4,Complete,259,1542,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,28343.7,2267.496,708.5925,31319.7885
120,4,Complete,260,1610,4,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,22516.725,1801.338,562.9181,24880.9811
121,4,Complete,250,1638,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
122,4,Complete,254,1582,4,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,266.238,21.299,6.656,294.193
123,5,Complete,257,1510,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,143.0415,11.4433,3.576,158.0608
124,4,Rejected,261,1526,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,28199.325,2255.946,704.9831,31160.2541
125,4,Complete,251,1644,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,3713.325,297.066,92.8331,4103.2241
126,4,Complete,253,1680,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,63831.075,5106.486,1595.7769,70533.3379
127,4,Complete,255,1584,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,16340.31,1307.2248,408.5078,18056.0426
128,4,Complete,256,1620,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,5711.475,456.918,142.7869,6311.1799
129,4,Complete,259,1666,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,665.028,53.2022,16.6257,734.8559
130,4,Complete,260,1592,2,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,97.965,7.8372,2.4491,108.2513
131,4,Complete,258,1618,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,114.471,9.1577,2.8618,126.4905
132,6,Complete,254,1612,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,132.6465,10.6117,3.3162,146.5744
133,4,Complete,257,1586,5,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
134,4,Rejected,261,1500,1,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,418.95,33.516,10.4738,462.9398
135,4,Complete,251,1656,4,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,3413.2455,273.0596,85.3311,3771.6362
136,4,Complete,253,1572,1,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,461.79,36.9432,11.5448,510.278
137,6,Complete,255,1562,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,722.4525,57.7962,18.0613,798.31
138,4,Complete,256,1662,2,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,37.0755,2.966,0.9269,40.9684
139,5,Complete,252,1682,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,21558.075,1724.646,538.9519,23821.6729
140,4,Complete,260,1686,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,351.855,28.1484,8.7964,388.7998
141,4,Complete,258,1684,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,45172.05,3613.764,1129.3013,49915.1153
142,6,Complete,254,1534,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,267.183,21.3746,6.6796,295.2372
143,4,Complete,257,1614,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,415.8,33.264,10.395,459.459
144,5,Rejected,261,1588,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,40471.2,3237.696,1011.78,44720.676
145,4,Complete,250,1622,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,662.0985,52.9679,16.5525,731.6189
146,4,Complete,253,1632,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,62092.8,4967.424,1552.32,68612.544
147,4,Complete,255,1608,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,5948.25,475.86,148.7063,6572.8163
148,4,Complete,256,1576,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,91117.95,7289.436,2277.9488,100685.3348
149,4,Complete,259,1590,1,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,525,42,13.125,580.125
150,4,Complete,260,1514,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,2003.6835,160.2947,50.0921,2214.0703
151,5,Complete,258,1498,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,26455.275,2116.422,661.3819,29233.0789
152,4,Complete,254,1674,2,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,944.37,75.5496,23.6093,1043.5289
153,4,Complete,252,1652,1,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,6993.525,559.482,174.8381,7727.8451
154,4,Rejected,261,1578,3,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,36122.625,2889.81,903.0656,39915.5006
155,4,Complete,251,1538,5,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,37843.575,3027.486,946.0894,41817.1504
156,5,Complete,253,1556,4,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,25531.275,2042.502,638.2819,28212.0589
157,4,Complete,255,1554,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,773.955,61.9164,19.3489,855.2203
158,4,Complete,256,1688,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,125.748,10.0598,3.1437,138.9515
159,4,Complete,259,1580,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,150.7905,12.0632,3.7698,166.6235
160,4,Complete,260,1496,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,391.545,31.3236,9.7886,432.6572
161,4,Complete,258,1494,2,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,8847.3,707.784,221.1825,9776.2665
162,4,Complete,254,1650,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,171.0765,13.6861,4.2769,189.0395
163,4,Complete,257,1654,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,20397.3,1631.784,509.9325,22539.0165
164,4,Rejected,261,1664,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,14628.075,1170.246,365.7019,16164.0229
165,4,Complete,251,1678,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,58685.55,4694.844,1467.1388,64847.5328
166,4,Complete,253,1616,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,481.887,38.551,12.0472,532.4852
167,4,Complete,255,1492,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,710.955,56.8764,17.7739,785.6053
168,4,Complete,256,1602,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,1796.0355,143.6828,44.9009,1984.6192
169,4,Complete,259,1540,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,664.3035,53.1443,16.6076,734.0554
170,4,Complete,260,1628,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
171,4,Complete,258,1604,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,1581.93,126.5544,39.5483,1748.0327
172,4,Complete,254,1690,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,146.286,11.7029,3.6572,161.6461
173,4,Complete,257,1566,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,102.564,8.2051,2.5641,113.3332
174,4,Rejected,261,1698,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,150.7905,12.0632,3.7698,166.6235
175,4,Complete,251,1560,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,13669.425,1093.554,341.7356,15104.7146
176,4,Complete,253,1692,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,13458.69,1076.6952,336.4673,14871.8525
177,4,Complete,252,1696,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,101720.85,8137.668,2543.0213,112401.5393
178,4,Complete,256,1504,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,551.88,44.1504,13.797,609.8274
179,4,Complete,259,1544,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,6987.75,559.02,174.6938,7721.4638
180,4,Complete,260,1530,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,28072.275,2245.782,701.8069,31019.8639
181,4,Complete,258,1508,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,1917.3,153.384,47.9325,2118.6165
182,4,Complete,254,1694,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,4215.75,337.26,105.3938,4658.4038
183,4,Complete,257,1624,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,28297.5,2263.8,707.4375,31268.7375
184,4,Rejected,261,1548,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,59.9445,4.7956,1.4986,66.2387
185,4,Complete,251,1598,4,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,1055.565,84.4452,26.3891,1166.3993
186,4,Complete,253,1658,5,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
187,4,Complete,255,1536,4,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,747.81,59.8248,18.6953,826.3301
188,4,Complete,252,1568,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,20957.475,1676.598,523.9369,23158.0099
189,4,Complete,259,1648,5,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,142.4115,11.3929,3.5603,157.3647
190,4,Complete,260,1646,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,48030.675,3842.454,1200.7669,53073.8959
191,4,Complete,258,1672,4,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,28597.023,2287.7618,714.9256,31599.7104
192,4,Complete,250,1600,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,1276.275,102.102,31.9069,1410.2839
193,4,Complete,257,1522,1,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,2003.925,160.314,50.0981,2214.3371
194,4,Rejected,261,1570,2,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,28343.7,2267.496,708.5925,31319.7885
195,4,Complete,251,1516,1,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,454.86,36.3888,11.3715,502.6203
196,4,Complete,253,1506,5,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
197,4,Complete,255,1626,2,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,7132.125,570.57,178.3031,7880.9981
198,4,Complete,256,1542,2,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,28343.7,2267.496,708.5925,31319.7885
199,4,Complete,259,1610,4,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,22516.725,1801.338,562.9181,24880.9811
200,4,Complete,260,1638,5,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
201,4,Complete,258,1582,5,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,532.917,42.6334,13.3229,588.8733
202,4,Complete,254,1510,5,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,143.0415,11.4433,3.576,158.0608
203,4,Complete,257,1526,2,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,28199.325,2255.946,704.9831,31160.2541
204,4,Rejected,261,1644,1,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,3713.325,297.066,92.8331,4103.2241
205,4,Complete,251,1680,5,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,63831.075,5106.486,1595.7769,70533.3379
206,4,Complete,253,1584,5,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,13361.04,1068.8832,334.026,14763.9492
207,4,Complete,255,1620,5,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,5711.475,456.918,142.7869,6311.1799
208,4,Complete,256,1666,4,2012-07-27 00:00:00.000,2012-08-05 00:00:00.000,627.4485,50.1959,15.6862,693.3306
209,4,Complete,259,1592,2,2012-07-31 00:00:00.000,2012-08-09 00:00:00.000,97.965,7.8372,2.4491,108.2513
210,4,Complete,250,1618,4,2012-07-31 00:00:00.000,2012-08-09 00:00:00.000,114.471,9.1577,2.8618,126.4905
211,4,Complete,258,1612,4,2012-07-31 00:00:00.000,2012-08-09 00:00:00.000,132.6465,10.6117,3.3162,146.5744
212,4,Complete,254,1586,5,2012-07-31 00:00:00.000,2012-08-09 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873
